place,run.id,run.weblink,run.game,run.level,run.category,run.videos.links,run.comment,run.status.status,run.status.examiner,run.status.verify-date,run.players,run.date,run.submitted,run.times.primary,run.times.primary_t,run.times.realtime,run.times.realtime_t,run.times.realtime_noloads,run.times.realtime_noloads_t,run.times.ingame,run.times.ingame_t,run.system.platform,run.system.emulated,run.system.region,run.splits,run.values.e8m7em86,run.values.kn04ewol,run.videos.text,run.splits.rel,run.splits.uri,run.videos
38,yvv2386y,https://www.speedrun.com/sm64/run/yvv2386y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=-pdB_sxDcGI'}],,verified,qxkm6mj0,2023-10-16T11:47:05Z,"[{'rel': 'user', 'id': '8w139m3x', 'uri': 'https://www.speedrun.com/api/v1/users/8w139m3x'}]",2023-10-15,2023-10-15T06:24:41Z,PT6M59.680S,419.68,PT6M59.680S,419.68,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
39,z5xlg2ny,https://www.speedrun.com/sm64/run/z5xlg2ny,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/8QBJc_ruWt0'}],,verified,qxkm6mj0,2022-10-16T00:21:10Z,"[{'rel': 'user', 'id': '18q6977j', 'uri': 'https://www.speedrun.com/api/v1/users/18q6977j'}]",2022-10-15,2022-10-15T18:53:52Z,PT7M,420.0,PT7M,420.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
40,yoq7gq5z,https://www.speedrun.com/sm64/run/yoq7gq5z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2353859809'}],,verified,8lpgwllj,2025-01-19T23:02:40Z,"[{'rel': 'user', 'id': 'xk3nmqk8', 'uri': 'https://www.speedrun.com/api/v1/users/xk3nmqk8'}]",2025-01-12,2025-01-15T09:12:21Z,PT7M3S,423.0,PT7M3S,423.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
41,m7pknkem,https://www.speedrun.com/sm64/run/m7pknkem,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/hBhkIKHAh0M'}],,verified,zx7gkrx7,2019-04-28T16:41:02Z,"[{'rel': 'user', 'id': 'zxzpz50j', 'uri': 'https://www.speedrun.com/api/v1/users/zxzpz50j'}]",2019-04-26,2019-04-26T11:46:52Z,PT7M4S,424.0,PT7M4S,424.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
42,megkrxqy,https://www.speedrun.com/sm64/run/megkrxqy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/2gvmABOw-LU'}],"Good ult skip, but missed 0-cycle FS. I'll gun for sub 7 someday.",verified,8lpgwllj,2024-07-16T22:42:26Z,"[{'rel': 'user', 'id': '8v57kgvj', 'uri': 'https://www.speedrun.com/api/v1/users/8v57kgvj'}]",2024-07-16,2024-07-16T12:01:12Z,PT7M7S,427.0,PT7M7S,427.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
43,yvx40w4z,https://www.speedrun.com/sm64/run/yvx40w4z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=jvf5uKknMrI'}],,verified,8lpgwllj,2024-07-08T23:09:25Z,"[{'rel': 'user', 'id': 'v816eo5x', 'uri': 'https://www.speedrun.com/api/v1/users/v816eo5x'}]",2024-07-08,2024-07-08T16:24:44Z,PT7M8S,428.0,PT7M8S,428.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
43,m7e4r3wz,https://www.speedrun.com/sm64/run/m7e4r3wz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=ujlc7p5sLCA'}],,verified,j4232gmx,2025-04-08T17:41:53Z,"[{'rel': 'user', 'id': '8q3g5goj', 'uri': 'https://www.speedrun.com/api/v1/users/8q3g5goj'}]",2025-04-06,2025-04-06T21:30:59Z,PT7M8S,428.0,PT7M8S,428.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
45,z0xgo8jz,https://www.speedrun.com/sm64/run/z0xgo8jz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2051456791'}],"called it, fluke run out of a bad 16 star attempt. 7:09 I hope

mod note: changed game region from 'None' to 'JPN / NTSC'",verified,j4232gmx,2024-02-04T05:18:51Z,"[{'rel': 'user', 'id': 'j5wo65gj', 'uri': 'https://www.speedrun.com/api/v1/users/j5wo65gj'}]",2024-02-03,2024-02-03T00:55:40Z,PT7M9S,429.0,PT7M9S,429.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
46,z5d68e5m,https://www.speedrun.com/sm64/run/z5d68e5m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=AXdeQ0CYWN4'}],mod note: 24fps,verified,qxkm6mj0,2021-11-04T18:55:34Z,"[{'rel': 'user', 'id': 'e8evzg7x', 'uri': 'https://www.speedrun.com/api/v1/users/e8evzg7x'}]",2021-11-04,2021-11-04T18:55:34Z,PT7M10S,430.0,PT7M10S,430.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,,
46,ylxo37ry,https://www.speedrun.com/sm64/run/ylxo37ry,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=A3DmVdAT1JA'}],,verified,8vkn1mnj,2024-08-08T10:35:41Z,"[{'rel': 'user', 'id': '8lpgwllj', 'uri': 'https://www.speedrun.com/api/v1/users/8lpgwllj'}]",2024-08-06,2024-08-06T04:45:48Z,PT7M10S,430.0,PT7M10S,430.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
48,y9x74r2y,https://www.speedrun.com/sm64/run/y9x74r2y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1552609275'}],"bad dw and bits decent everything else maybe sub 7 soon

mod note: set to 'verified: no' due to no longer available video",verified,qxkm6mj0,2022-08-05T12:11:38Z,"[{'rel': 'user', 'id': '8rpp0egj', 'uri': 'https://www.speedrun.com/api/v1/users/8rpp0egj'}]",2022-08-04,2022-08-05T00:55:36Z,PT7M14S,434.0,PT7M14S,434.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,,
48,yj9lll7z,https://www.speedrun.com/sm64/run/yj9lll7z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2208793843'}],,verified,98rp5mwj,2024-07-28T19:03:25Z,"[{'rel': 'user', 'id': 'x7qqopy8', 'uri': 'https://www.speedrun.com/api/v1/users/x7qqopy8'}]",2024-07-27,2024-07-27T16:08:05Z,PT7M14S,434.0,PT7M14S,434.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
50,z1p7x9jz,https://www.speedrun.com/sm64/run/z1p7x9jz,o1y9wo6q,,xk9gg6d0,"[{'uri': 'https://www.twitch.tv/videos/1527091770'}, {'uri': 'https://www.youtube.com/watch?v=sr-8-yDC9tI'}]",https://www.twitch.tv/videos/1527091770,verified,qxkm6mj0,2022-07-10T21:38:09Z,"[{'rel': 'user', 'id': 'kjpqrr4x', 'uri': 'https://www.speedrun.com/api/v1/users/kjpqrr4x'}]",2022-07-09,2022-07-10T21:37:48Z,PT7M15S,435.0,PT7M15S,435.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
51,yww9qq3y,https://www.speedrun.com/sm64/run/yww9qq3y,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=hlcBp0RQLLU'}],,verified,j4232gmx,2025-04-09T12:57:45Z,"[{'rel': 'user', 'id': 'qxkm6mj0', 'uri': 'https://www.speedrun.com/api/v1/users/qxkm6mj0'}]",2025-04-08,2025-04-08T22:21:35Z,PT7M18S,438.0,PT7M18S,438.0,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
52,ylp7w3km,https://www.speedrun.com/sm64/run/ylp7w3km,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=JjOBVJ6mLeo'}],,verified,j2w1w5lj,2025-02-01T20:19:00Z,"[{'rel': 'user', 'id': '8lr0m1v8', 'uri': 'https://www.speedrun.com/api/v1/users/8lr0m1v8'}]",2023-06-30,2025-02-01T15:03:36Z,PT7M19S,439.0,PT7M19S,439.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
53,ywnvl3ny,https://www.speedrun.com/sm64/run/ywnvl3ny,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1996208435'}],all because of retrotorpedos huge dick!,verified,qxkm6mj0,2023-12-06T00:11:21Z,"[{'rel': 'user', 'id': 'pj0l653j', 'uri': 'https://www.speedrun.com/api/v1/users/pj0l653j'}]",2023-12-05,2023-12-05T22:23:00Z,PT7M20S,440.0,PT7M20S,440.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
53,zgox3rvm,https://www.speedrun.com/sm64/run/zgox3rvm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2217048743'}],,verified,8lpgwllj,2024-08-07T23:57:33Z,"[{'rel': 'user', 'id': '8d4ywn58', 'uri': 'https://www.speedrun.com/api/v1/users/8d4ywn58'}]",2024-08-05,2024-08-06T04:14:52Z,PT7M20S,440.0,PT7M20S,440.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
53,men72e2m,https://www.speedrun.com/sm64/run/men72e2m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/tbdSfK7GIVQ'}],,verified,8qrv5k0j,2025-01-14T17:49:14Z,"[{'rel': 'user', 'id': '8lrkpl78', 'uri': 'https://www.speedrun.com/api/v1/users/8lrkpl78'}]",2025-01-14,2025-01-14T13:08:00Z,PT7M20S,440.0,PT7M20S,440.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
56,oy2n26yd,https://www.speedrun.com/sm64/run/oy2n26yd,o1y9wo6q,,xk9gg6d0,[{'uri': 'http://www.nicovideo.jp/watch/sm17306554'}],,verified,qxkm6mj0,,"[{'rel': 'guest', 'name': '[jp]もっこり (Mokkori)', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5D%E3%82%82%E3%81%A3%E3%81%93%E3%82%8A+%28Mokkori%29'}]",2012-03-20,,PT7M21S,441.0,PT7M21S,441.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
56,7z08d4m5,https://www.speedrun.com/sm64/run/7z08d4m5,o1y9wo6q,,xk9gg6d0,[{'uri': 'http://www.nicovideo.jp/watch/sm19465404'}],,verified,qxkm6mj0,,"[{'rel': 'user', 'id': '18qnw78n', 'uri': 'https://www.speedrun.com/api/v1/users/18qnw78n'}]",2012-11-29,,PT7M21S,441.0,PT7M21S,441.0,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
58,wzp7ll8z,https://www.speedrun.com/sm64/run/wzp7ll8z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=0HyXIc0xPyc'}],,verified,48grkp1x,2017-03-13T21:24:34Z,"[{'rel': 'guest', 'name': '[jp]ZEOKU', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5DZEOKU'}]",2017-03-13,2017-03-13T21:24:34Z,PT7M23S,443.0,PT7M23S,443.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
58,yvo5ro8z,https://www.speedrun.com/sm64/run/yvo5ro8z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=mnPFtUioMRM&t=486s'}],mod note: please record in 30/60fps if possible (video is 24fps) / 可能であれば30/60fpsで記録してください（ビデオは24fpsです）,verified,qxkm6mj0,2021-11-04T17:40:17Z,"[{'rel': 'user', 'id': '86vq7g3j', 'uri': 'https://www.speedrun.com/api/v1/users/86vq7g3j'}]",2021-11-01,2021-11-03T12:51:19Z,PT7M23S,443.0,PT7M23S,443.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,,
60,0y6gv1m7,https://www.speedrun.com/sm64/run/0y6gv1m7,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=UTBkIEA_Rfk'}],,verified,qxkm6mj0,,"[{'rel': 'guest', 'name': '[jp]はちみつ (Honey)', 'uri': 'https://www.speedrun.com/api/v1/guests/%5Bjp%5D%E3%81%AF%E3%81%A1%E3%81%BF%E3%81%A4+%28Honey%29'}]",2012-11-30,,PT7M25S,445.0,PT7M25S,445.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
61,znp54l3m,https://www.speedrun.com/sm64/run/znp54l3m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/xeCbx4Ss1d8'}],,verified,qxkm6mj0,2022-07-09T21:44:15Z,"[{'rel': 'user', 'id': '7j4epgvx', 'uri': 'https://www.speedrun.com/api/v1/users/7j4epgvx'}]",2022-07-10,2022-07-09T21:27:32Z,PT7M27S,447.0,PT7M27S,447.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
62,y9lg7pky,https://www.speedrun.com/sm64/run/y9lg7pky,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/klMp2hh8IXg'}],mario day pb!,verified,zx7gkrx7,2022-03-11T06:40:31Z,"[{'rel': 'user', 'id': 'zxzzzrxq', 'uri': 'https://www.speedrun.com/api/v1/users/zxzzzrxq'}]",2022-03-10,2022-03-10T21:53:19Z,PT7M28S,448.0,PT7M28S,448.0,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,splits.io,https://splits.io/api/v3/runs/940s,
63,zxxv26kz,https://www.speedrun.com/sm64/run/zxxv26kz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2195539929'}],pretty good,verified,8lpgwllj,2024-07-12T22:26:32Z,"[{'rel': 'user', 'id': '8r7412qj', 'uri': 'https://www.speedrun.com/api/v1/users/8r7412qj'}]",2024-07-12,2024-07-12T06:09:38Z,PT7M30S,450.0,PT7M30S,450.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
64,yox3k6jy,https://www.speedrun.com/sm64/run/yox3k6jy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=hEm36SdfaA0'}],,verified,98rp5mwj,2024-08-01T18:20:53Z,"[{'rel': 'user', 'id': 'x77dy6qx', 'uri': 'https://www.speedrun.com/api/v1/users/x77dy6qx'}]",2024-08-01,2024-08-01T17:39:29Z,PT7M31S,451.0,PT7M31S,451.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
65,y8008d5m,https://www.speedrun.com/sm64/run/y8008d5m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/wK9EFpTVoVQ'}],proper splits this time,verified,j4232gmx,2023-02-12T15:57:42Z,"[{'rel': 'user', 'id': 'j425r0wx', 'uri': 'https://www.speedrun.com/api/v1/users/j425r0wx'}]",2023-02-11,2023-02-11T22:20:36Z,PT7M32S,452.0,PT7M32S,452.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
66,z1k3ongy,https://www.speedrun.com/sm64/run/z1k3ongy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1924146672'}],ok,verified,qxkm6mj0,2023-09-13T12:28:39Z,"[{'rel': 'user', 'id': 'qjomp63x', 'uri': 'https://www.speedrun.com/api/v1/users/qjomp63x'}]",2023-09-13,2023-09-13T02:59:02Z,PT7M33S,453.0,PT7M33S,453.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
67,mk841ovm,https://www.speedrun.com/sm64/run/mk841ovm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/742549492'}],lol im bad,verified,1xyky4n8,2020-09-16T22:27:21Z,"[{'rel': 'user', 'id': 'qjoq7yl8', 'uri': 'https://www.speedrun.com/api/v1/users/qjoq7yl8'}]",2020-09-15,2020-09-16T05:59:20Z,PT7M34S,454.0,PT7M34S,454.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
68,y69ngnjy,https://www.speedrun.com/sm64/run/y69ngnjy,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/B8ZgnWxaNeg'}],7:35.89,verified,qxkm6mj0,2021-09-08T02:19:56Z,"[{'rel': 'user', 'id': '98re9d6x', 'uri': 'https://www.speedrun.com/api/v1/users/98re9d6x'}]",2021-09-07,2021-09-08T01:52:19Z,PT7M35S,455.0,PT7M35S,455.0,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
68,zgelp3ny,https://www.speedrun.com/sm64/run/zgelp3ny,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1877981728'}],mod note: verified: no due to external capture,verified,zx7gkrx7,2023-07-22T03:12:07Z,"[{'rel': 'user', 'id': 'j4rg3z58', 'uri': 'https://www.speedrun.com/api/v1/users/j4rg3z58'}]",2023-07-21,2023-07-21T19:16:06Z,PT7M35S,455.0,PT7M35S,455.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,4qyxop3l,,,,
70,zpgpodrz,https://www.speedrun.com/sm64/run/zpgpodrz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/fuf2O53VuMU'}],,verified,qxkm6mj0,2023-02-25T14:43:50Z,"[{'rel': 'user', 'id': 'j4232gmx', 'uri': 'https://www.speedrun.com/api/v1/users/j4232gmx'}]",2023-02-25,2023-02-25T06:05:29Z,PT7M36S,456.0,PT7M36S,456.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
70,ywx8972m,https://www.speedrun.com/sm64/run/ywx8972m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/PEAFXDHsI6k'}],Team Chillers B),verified,8lpgwllj,2024-08-01T23:24:50Z,"[{'rel': 'user', 'id': 'pj0rd9mj', 'uri': 'https://www.speedrun.com/api/v1/users/pj0rd9mj'}]",2024-07-31,2024-07-31T11:10:55Z,PT7M36S,456.0,PT7M36S,456.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
72,z0j73pey,https://www.speedrun.com/sm64/run/z0j73pey,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=I6TUqaORg18'}],,verified,qxkm6mj0,2023-06-14T13:54:32Z,"[{'rel': 'user', 'id': '8vkn1mnj', 'uri': 'https://www.speedrun.com/api/v1/users/8vkn1mnj'}]",2023-06-14,2023-06-14T12:52:22Z,PT7M37S,457.0,PT7M37S,457.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
72,y4o6nknz,https://www.speedrun.com/sm64/run/y4o6nknz,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=VQW329vMExw'}],"Nice run!

(retime 07:37.089)",verified,qxk4wo6j,2023-07-24T14:45:23Z,"[{'rel': 'user', 'id': 'zxz1vorj', 'uri': 'https://www.speedrun.com/api/v1/users/zxz1vorj'}]",2023-07-23,2023-07-23T12:33:39Z,PT7M37S,457.0,PT7M37S,457.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
74,zxwn768m,https://www.speedrun.com/sm64/run/zxwn768m,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/1991933105'}],Bro AINTNOWAY,verified,qxkm6mj0,2023-12-01T14:27:25Z,"[{'rel': 'user', 'id': 'v8lgdovj', 'uri': 'https://www.speedrun.com/api/v1/users/v8lgdovj'}]",2023-12-01,2023-12-01T07:34:54Z,PT7M41S,461.0,PT7M41S,461.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
74,yj9grj3z,https://www.speedrun.com/sm64/run/yj9grj3z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/5CqXSwCn3dM'}],,verified,zx7gkrx7,2024-08-16T22:33:41Z,"[{'rel': 'user', 'id': '81qn9n5j', 'uri': 'https://www.speedrun.com/api/v1/users/81qn9n5j'}]",2024-08-16,2024-08-16T00:45:07Z,PT7M41S,461.0,PT7M41S,461.0,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
76,mke03vlm,https://www.speedrun.com/sm64/run/mke03vlm,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=g6OQ1sw7SnA'}],,verified,qxkm6mj0,2022-02-02T14:16:19Z,"[{'rel': 'user', 'id': '48g23pyj', 'uri': 'https://www.speedrun.com/api/v1/users/48g23pyj'}]",2019-12-09,2022-02-02T14:15:51Z,PT7M43S,463.0,PT7M43S,463.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
77,mel7q93z,https://www.speedrun.com/sm64/run/mel7q93z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.youtube.com/watch?v=dm5w_31Qp_8'}],,verified,qxkm6mj0,2023-06-13T14:38:00Z,"[{'rel': 'user', 'id': 'j40y2pv8', 'uri': 'https://www.speedrun.com/api/v1/users/j40y2pv8'}]",2023-06-13,2023-06-13T10:45:58Z,PT7M44S,464.0,PT7M44S,464.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
77,z5lrgony,https://www.speedrun.com/sm64/run/z5lrgony,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://www.twitch.tv/videos/2349310467'}],,verified,8lpgwllj,2025-01-14T05:50:18Z,"[{'rel': 'user', 'id': 'xz2z23ex', 'uri': 'https://www.speedrun.com/api/v1/users/xz2z23ex'}]",2025-01-06,2025-01-13T19:09:31Z,PT7M44S,464.0,PT7M44S,464.0,,0,,0,w89rwelk,False,o316x197,,9qj7z0oq,5q8e86rq,,,,
79,y98nxl2z,https://www.speedrun.com/sm64/run/y98nxl2z,o1y9wo6q,,xk9gg6d0,[{'uri': 'https://youtu.be/SL3thyFqQAo'}],,verified,j03z503j,2023-06-06T01:49:14Z,"[{'rel': 'user', 'id': 'j2636gox', 'uri': 'https://www.speedrun.com/api/v1/users/j2636gox'}]",2023-06-04,2023-06-04T19:22:20Z,PT7M45S,465.0,PT7M45S,465.0,,0,,0,w89rwelk,False,pr184lqn,,9qj7z0oq,5q8e86rq,,,,
